"participant","experiment","phase","trial_type","trial_num","block_num","category","codename","cued_part","cued_type","part_attempts_total","part_first_attempt_corr","target_hex","target_l","target_a","target_b","color_response_bias","color_response_correct","color_response_type"
1,1,"main","color",25,2,"A","denor","head","shared",NA,NA,"#AD8A65",60,8,25,0,1,"target"
1,1,"main","part",26,2,"B","sorex","leg","shared",2,0,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",26,2,"B","volar","tail","shared",NA,NA,"#9A8BAB",60,12.10050506,-15.10050506,1,0,"attract"
1,1,"main","part",27,2,"B","motar","tail","unique",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",27,2,"B","gavan","leg","unique",NA,NA,"#BB7ABD",60,36,-25,1,0,"attract"
1,1,"main","part",28,2,"B","volar","back","unique",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",28,2,"B","motar","head","shared",NA,NA,"#AA7FCE",60,31.89949494,-34.89949494,0,0,"orthogonal"
1,1,"main","part",29,2,"A","nodon","leg","shared",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",29,2,"A","praxa","leg","unique",NA,NA,"#CC7A78",60,31.89949494,15.10050506,1,0,"attract"
1,1,"main","part",30,2,"B","volar","tail","shared",1,1,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",30,2,"A","funda","back","unique",NA,NA,"#B78753",60,12.10050506,34.89949494,1,0,"attract"
1,1,"main","part",31,2,"A","nodon","head","unique",3,0,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",31,2,"B","sorex","head","unique",NA,NA,"#BC7CAC",60,31.89949494,-15.10050506,1,0,"attract"
1,1,"main","part",32,2,"A","funda","back","unique",2,0,NA,NA,NA,NA,NA,NA,NA
1,1,"main","color",32,2,"A","funda","tail","shared",NA,NA,"#D67667",60,36,25,1,0,"attract"
1,1,"main","part",33,3,"A","praxa","tail","shared",2,0,NA,NA,NA,NA,NA,NA,NA
